Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
4/2/2020,1233,143,1596,643,10773,3342,3824,393,9008,5348,256,776,7695,3038,614,553,770,9149,376,2331,8966,10791,742,1177,1857,241,246,1463,479,25590,373,92506,1977,159,2901,881,826,7268,645,1554,165,3013,5069,1086,338,1706,6389,216,1748,150
4/3/2020,1495,157,1769,704,12004,3742,4914,450,10268,5831,319,891,8904,3437,699,629,770,10297,432,2758,10402,12744,788,1358,1864,243,279,1514,479,29895,490,102987,2251,173,3312,990,899,8570,711,1700,187,3067,5734,1248,389,2012,6846,237,2012,162
4/4/2020,1614,171,2019,743,12837,4188,5276,593,11537,6160,351,1022,10357,3953,787,698,917,12496,456,3125,11736,14225,865,1455,2310,265,321,1742,540,34124,506,113833,2486,186,3739,1161,899,10444,806,1917,212,3322,6567,1428,461,2407,7247,282,2030,187
4/5/2020,1765,185,2269,837,15034,4950,5675,673,12350,6647,371,1078,11259,4411,869,751,955,13010,470,3617,12500,15718,935,1638,2347,286,364,1855,621,37505,624,123160,2649,207,4043,1254,1068,11589,922,2049,240,3633,7209,1601,512,2640,7825,324,2320,197
4/6/2020,1952,190,2460,875,16019,5183,6906,783,13324,7314,387,1101,12262,4956,946,849,955,14867,499,4045,13837,17221,986,1738,2736,299,417,1953,715,41090,686,131815,2962,225,4453,1329,1068,13127,1082,2232,288,3802,8043,1678,543,2878,8311,345,2449,210
4/7/2020,2169,213,2575,946,17351,5429,7781,928,14545,8822,410,1170,13553,5510,1046,912,1149,16284,519,4371,15202,18970,1069,1915,3130,319,447,2124,715,44416,794,139875,3299,237,4782,1474,1132,14853,1229,2417,320,4139,8925,1739,575,3335,8692,412,2578,216
4/8/2020,2328,226,2726,1000,18897,5655,7781,1116,15456,9901,410,1210,15078,5943,1145,1046,1149,17030,537,5529,16790,20346,1154,2003,3209,332,519,2259,747,47437,821,151061,3499,251,5148,1526,1181,16631,1450,2417,393,4363,9777,1848,605,3645,9276,483,2710,221
4/9/2020,2703,235,3018,1119,19710,5655,9784,1209,16364,10566,442,1232,16422,6351,1270,1116,1341,18283,560,6185,18941,21504,1240,2260,3432,354,568,2456,819,51027,865,161779,3736,269,5512,1686,1321,18300,1727,2793,447,4634,11208,1856,628,4042,9639,514,2886,230
4/10/2020,2947,246,3112,1171,21081,6202,10538,1326,17531,11485,442,1354,17887,6907,1388,1117,1693,19253,586,6968,20974,22434,1336,2469,3897,365,635,2722,819,54588,1081,172348,3965,278,5878,1794,1322,20051,1727,3067,536,4891,12105,2103,679,4509,10119,574,3068,239
4/11/2020,3217,257,3393,1228,21706,6513,11510,1479,18494,12159,465,1396,19180,7435,1510,1275,1693,20014,616,7694,22860,23605,1427,2642,4108,377,699,2702,885,58151,1091,181026,4354,293,6250,1868,1371,21719,2349,3211,626,5132,13023,2207,711,5077,10434,577,3213,261
4/12/2020,3563,272,3542,1280,22795,7307,12035,1625,19895,12452,499,1407,20852,7928,1587,1344,1963,20595,633,8225,25475,24244,1621,2781,4269,387,791,2836,929,61850,1245,189033,4570,308,6604,1970,1527,22938,2665,3320,730,5508,13677,2303,727,5274,10609,593,3341,270
4/13/2020,3734,277,3705,1410,23931,7691,13381,1758,21019,13315,504,1426,22025,8359,1710,1390,2018,21016,698,8936,26867,25635,1621,2942,4515,394,814,2990,985,64584,1262,195749,4886,331,6975,2069,1584,24292,2665,3391,868,5610,14275,2363,748,5747,10635,611,3428,275
4/14/2020,3953,285,3809,1498,25356,7950,13989,1926,21628,14578,511,1464,23248,8527,1899,1441,2048,21518,735,9472,28164,27001,1695,3087,4746,399,897,3134,922,68824,1345,203020,5113,341,7285,2184,1633,25465,3251,3553,988,5827,15006,2417,752,6182,10799,640,3555,282
4/15/2020,4075,293,3964,1569,26686,7956,14755,2014,22511,14987,524,1473,24593,8960,1995,1504,2210,21951,770,10032,29918,28059,1809,3360,4791,404,901,3211,1139,71030,1484,214454,5340,365,7794,2263,1663,26753,3251,3656,1168,5827,15907,2548,759,6500,10942,702,3721,287
4/16/2020,4345,300,4237,1620,27677,8286,15884,2070,23343,15669,530,1587,25734,9542,2141,1615,2435,22532,796,10784,32181,28809,1809,3624,5174,415,952,3214,1139,75317,1484,223691,5639,393,8414,2357,1736,28258,3529,3931,1311,6166,16876,2683,774,6889,11057,728,3875,296
4/17/2020,4571,309,4511,1695,29157,8691,16809,2317,24759,17194,541,1609,27578,10154,2332,1730,2522,23118,827,11572,34402,30023,2070,3793,5371,422,1066,3524,1287,78467,1597,230597,6045,393,9107,2465,1785,29888,4177,4099,1411,6263,17849,2793,779,7491,11517,775,4053,305
4/18/2020,4712,314,4724,1744,30491,9047,17550,2538,25492,17669,574,1655,29160,10641,2513,1821,2707,23580,847,12326,36372,30791,2209,3974,5579,426,1249,3626,1342,81420,1798,237474,6328,528,10222,2465,1844,31652,4491,4248,1542,6589,18704,2917,803,8053,11776,785,4199,309
4/19/2020,4888,319,4933,1781,31431,9730,17962,2538,26314,18301,580,1668,30357,11211,2902,1905,2960,23928,867,12847,38077,31424,2356,4274,5743,433,1474,3728,1390,85301,1845,243382,6601,585,11602,2567,1910,32902,4706,4377,1635,7070,19260,3069,813,8542,11978,890,4346,313
4/20/2020,5079,321,5068,1973,33686,9730,19815,2745,27059,19407,584,1672,31513,11688,3159,2048,3050,24523,875,13684,38077,32000,2470,4512,5890,433,1648,3830,1447,88722,1971,248416,6895,627,12919,2680,1957,33914,5090,4446,1685,7238,19751,3213,816,8990,12114,902,4499,317
4/21/2020,5317,329,5256,1990,35465,10473,20360,2931,27869,19881,586,1736,33059,12097,3641,2164,3204,24854,888,14193,41199,32667,2567,4716,6066,437,1685,3937,1490,92387,1971,253519,7134,644,13725,2807,2004,35249,5500,4439,1755,7394,20574,3297,818,9630,12392,908,4625,443
4/22/2020,5593,335,5473,2276,37344,10891,22469,3200,28309,21214,592,1766,35107,12438,3748,2331,3378,25258,907,14775,42944,33966,2722,4894,6277,439,1813,4081,1588,95914,2210,258222,7495,679,14117,2894,2059,36082,5841,4761,1858,7394,21321,3445,823,10266,12596,939,4845,447
4/23/2020,5832,337,5772,2599,39561,11278,23100,3308,29648,21883,596,1836,36937,13039,3924,2721,3479,25739,937,15737,46023,35296,2942,5153,6506,442,2202,4208,1670,100025,2379,263460,7820,709,14694,3017,2127,38379,6256,4917,1956,8266,22650,3612,825,10998,12753,981,5052,453
4/24/2020,6026,339,6045,2810,41355,12256,23936,3442,30533,22491,601,1870,39658,13681,4445,2959,3779,26140,965,16616,50969,36666,3185,5434,6788,444,2424,4398,1720,102196,2521,271590,8290,748,15169,3121,2177,40208,6699,5070,2040,8728,23642,3782,827,11594,12977,1010,5356,473
4/25/2020,6026,339,6286,2911,42368,12968,24583,3576,30839,23222,605,1887,41777,14399,5092,3135,3915,26512,965,17766,53348,37074,3446,5718,6935,445,2719,4539,1797,105498,2660,282143,8768,803,15587,3194,2253,41153,7129,5253,2147,9189,24153,3948,843,12366,13319,1010,5687,491
4/26/2020,6421,340,6534,3001,43558,13441,25269,4034,31532,23486,606,1897,43903,15012,5476,3277,4085,26773,1015,18581,54938,37778,3602,5911,7120,448,3030,4734,1864,109038,2726,288045,8997,867,15972,3254,2311,42616,7439,5498,2212,9667,24967,4123,851,12970,13521,1055,5912,502
4/27/2020,6539,345,6725,3069,44966,13879,25997,4162,32138,24302,607,1897,45883,15961,5868,3473,4156,27068,1023,19487,56462,38210,3811,6094,7305,449,3358,4700,1938,111188,2825,291996,9428,942,16325,3281,2354,43558,7708,5613,2244,9918,25321,4236,855,13538,13686,1063,6081,520
4/28/2020,6750,351,6955,3127,46164,14316,26312,4575,32848,24922,609,1952,48102,16588,6376,3652,4375,27286,1040,20113,58302,39262,4181,6342,7450,451,3517,4821,2010,113856,2974,295106,9755,991,16769,3410,2385,45137,7927,5735,2313,10052,26357,4345,862,14339,13842,1095,6289,536
4/29/2020,6912,355,7209,3193,48747,14758,26767,4655,33193,25775,613,1952,50358,17182,6843,3839,4537,27660,1056,20849,60265,40399,4644,6569,7660,451,3851,4934,2058,116365,3213,299691,10180,1033,17303,3473,2446,46327,8247,5882,2373,10366,27257,4497,862,14962,14070,1110,6520,545
4/30/2020,7088,355,7655,3281,50130,15284,27700,4734,33690,26264,618,1984,52918,17835,7145,4413,4708,28001,1095,21742,62205,41379,5136,6815,7818,453,4281,5053,2146,118652,3411,304372,10754,1067,18027,3618,2510,47971,8621,6095,2449,10735,28727,4672,866,15847,14327,1125,6854,559
5/1/2020,7294,364,7969,3337,52026,15793,28764,4918,34728,27489,619,2015,56055,18630,7884,4634,4882,28711,1123,23472,64311,42356,5730,7212,8067,453,5008,5248,2310,121190,3513,308314,11070,1107,18743,3748,2579,49579,8962,6258,2525,11891,29692,4828,879,16902,14637,1152,7314,566
5/2/2020,7611,365,8364,3372,53347,16225,29287,5038,35463,28331,620,2061,58505,19295,8643,4885,4879,29140,1153,24473,66263,43207,6232,7441,8356,455,5317,5389,2429,123717,3732,312977,11588,1153,19335,3851,2635,50494,9289,6489,2588,12661,30917,4985,886,17738,15003,1185,7660,579
5/3/2020,7888,368,8640,3437,54903,16635,29287,5208,36078,28665,620,2061,61499,19933,9175,5156,5130,29340,1185,25462,68087,43801,6663,7550,8618,455,5661,5472,2518,126744,3850,316415,11770,1191,19914,3972,2680,51225,9477,6626,2631,13177,31998,5175,897,18672,15185,1195,7964,586
5/4/2020,8112,370,8924,3491,55884,16918,29973,5288,36897,29451,621,2106,63777,20507,9703,5383,5245,29673,1205,26408,69087,43990,7234,7877,8946,457,6037,5630,2588,128269,4031,318953,11971,1225,20474,4044,2759,52816,9652,6757,2668,13571,32783,5317,902,19493,15462,1224,8236,596
5/5/2020,8437,371,9305,3525,58456,17367,30621,5371,37439,29998,625,2127,65889,21033,10111,5648,5822,29996,1226,27117,70271,44451,7851,8207,9121,456,6373,5660,2636,130593,4138,321192,12510,1266,20969,4127,2839,53864,9933,6841,2721,13690,33912,5449,907,20257,15594,1246,8566,604
5/6/2020,8691,372,9707,3611,60616,17832,30995,5778,38002,30743,626,2158,68232,21870,10404,5993,5934,30399,1254,28163,72025,45179,8579,8424,9323,456,6689,5741,2741,131890,4291,323978,13053,1323,21576,4202,2916,54800,10205,6936,2780,13938,34928,5595,908,20985,15905,1242,8901,631
5/7/2020,9046,374,9945,3703,62148,18370,31784,5939,38828,31618,629,2178,70871,22503,11059,6332,6129,30652,1330,29374,73721,45745,9365,8686,9581,456,7334,5855,2843,133991,4493,327469,13540,1371,22131,4330,2989,55956,10530,7142,2906,14096,36036,5724,916,21570,16231,1287,9215,635
5/8/2020,9385,377,10526,3747,63779,18827,32411,6111,39199,32181,629,2178,73760,23146,11457,6667,6288,30855,1374,30485,75333,46386,10088,9090,9733,458,7818,5920,2947,135840,4673,330407,14006,1425,23016,4424,3068,57371,10779,7367,3145,14441,37246,5919,919,22342,16388,1323,9590,644
5/9/2020,9668,378,10960,3747,66558,19375,32984,6277,40001,32588,631,2205,76085,23732,11671,6829,6440,31417,1408,31534,76743,46815,10790,9378,9911,458,8093,6171,3011,137397,4778,333122,14478,1464,23697,4490,3160,58560,10989,7531,3393,14768,38394,6103,921,23196,16674,1323,9939,653
